Body_type,Kilometer_Driven,Transmission,Owner_No.,Original_equipment_manufacturer,Model,Model_year,Variant_name,Price,Insurance_validity,Fuel_type,Seats,Engine_displacement,Year_of_manufacture,Mileage,Max_power,Torque,Colour,Location,Features,Interior,Exterior
SUV,10000,Automatic,1,Mahindra,Mahindra XUV300,2022,W6 AMT Sunroof BSVI,0.5160298986744412,Third Party insurance,Petrol,5,1197,2022,17.0,108.6,200,White,Bangalore,9,3,21
SUV,18000,Automatic,1,MG,MG Hector Plus,2021,Sharp CVT,0.5162760808306451,Comprehensive,Petrol,6,1451,2021,16.56,141.0,0,Black,Bangalore,9,1,21
Hatchback,38197,Manual,1,Honda,Honda Brio,2013,S MT,0.5158723420944706,Third Party,Petrol,5,1198,2013,19.4,86.8,109,Others,Bangalore,9,3,24
Hatchback,23000,Automatic,2,Maruti,Maruti Baleno,2017,Zeta CVT,0.515951840917596,Comprehensive,Petrol,5,1197,2017,19.56,81.8,113,Grey,Bangalore,9,3,28
Hatchback,50000,Manual,1,Maruti,Maruti Alto K10,2013,LXI,0.5158353547266117,Third Party insurance,Petrol,5,998,2013,20.92,67.1,90,Red,Bangalore,8,3,25
SUV,10000,Automatic,1,Renault,Renault Kiger,2022,RXZ AMT DT,0.5159782604660667,Third Party insurance,Petrol,5,999,2022,19.03,71.01,96,Others,Bangalore,9,2,22
Hatchback,19000,Manual,1,Hyundai,Hyundai Grand i10,2019,1.2 Kappa Asta,0.515944635586195,Third Party insurance,Petrol,5,1197,2019,18.9,81.86,0,Blue,Bangalore,9,3,28
SUV,14000,Automatic,1,Kia,Kia Seltos,2020,GTX Plus DCT,0.5161920186309658,Comprehensive,Petrol,5,1353,2020,16.5,138.08,0,White,Bangalore,9,2,22
Hatchback,29268,Manual,1,Hyundai,Hyundai EON,2014,Magna Plus,0.515856970720815,Comprehensive,Petrol,5,814,2014,21.1,55.2,74,White,Bangalore,9,3,26
Sedan,20000,Automatic,1,Volkswagen,Volkswagen Vento,2019,1.2 TSI Highline Plus AT,0.516015488011639,Third Party insurance,Petrol,5,1197,2019,18.19,103.2,175,Others,Bangalore,9,3,31
